stats,firstfit,firstfitdecreasing,MBS,MBS',MBS samipling,VNS
media,0.12,0.1475,0.22749999999999998,0.22749999999999998,0.07625,0.025
varianza,0.0003684210526315788,0.00012499999999999995,0.00012499999999999995,0.00012499999999999995,3.125000000000002e-05,0.0
