dataset, firstfit, firstfitdecreasing, MBS, MBS', MBS'sampling, VNS, best known solution,d1,d2,d3,d4,d5,d6
u250_00, 104, 100, 100, 100, 99, 99, 99,0.050505050505050504,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.0,0.0
u250_01, 107, 101, 100, 100, 100, 100, 100,0.07,0.01,0.0,0.0,0.0,0.0
u250_02, 109, 104, 102, 102, 102, 102, 102,0.06862745098039216,0.0196078431372549,0.0,0.0,0.0,0.0
u250_03, 106, 101, 100, 100, 100, 100, 100,0.06,0.01,0.0,0.0,0.0,0.0
u250_04, 107, 102, 102, 102, 101, 101, 101,0.0594059405940594,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0,0.0
u250_05, 107, 104, 102, 101, 101, 101, 101,0.0594059405940594,0.0297029702970297,0.009900990099009901,0.0,0.0,0.0
u250_06, 107, 103, 102, 102, 102, 102, 102,0.049019607843137254,0.00980392156862745,0.0,0.0,0.0,0.0
u250_07, 110, 105, 106, 104, 104, 104, 104,0.057692307692307696,0.009615384615384616,0.019230769230769232,0.0,0.0,0.0
u250_08, 112, 107, 106, 107, 106, 106, 105,0.06666666666666667,0.01904761904761905,0.009523809523809525,0.01904761904761905,0.009523809523809525,0.009523809523809525
u250_09, 108, 102, 101, 101, 101, 101, 101,0.06930693069306931,0.009900990099009901,0.0,0.0,0.0,0.0
u250_10, 112, 106, 106, 105, 105, 105, 105,0.06666666666666667,0.009523809523809525,0.009523809523809525,0.0,0.0,0.0
u250_11, 109, 103, 101, 101, 101, 101, 101,0.07920792079207921,0.019801980198019802,0.0,0.0,0.0,0.0
u250_12, 112, 107, 107, 106, 106, 106, 106,0.05660377358490566,0.009433962264150943,0.009433962264150943,0.0,0.0,0.0
u250_13, 110, 104, 105, 104, 103, 103, 103,0.06796116504854369,0.009708737864077669,0.019417475728155338,0.009708737864077669,0.0,0.0
u250_14, 105, 101, 100, 100, 100, 100, 100,0.05,0.01,0.0,0.0,0.0,0.0
u250_15, 114, 107, 106, 106, 106, 106, 105,0.08571428571428572,0.01904761904761905,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.009523809523809525
u250_16, 103, 99, 97, 97, 97, 97, 97,0.061855670103092786,0.020618556701030927,0.0,0.0,0.0,0.0
u250_17, 106, 101, 100, 100, 100, 100, 100,0.06,0.01,0.0,0.0,0.0,0.0
u250_18, 106, 102, 101, 101, 100, 100, 100,0.06,0.02,0.01,0.01,0.0,0.0
u250_19, 108, 103, 102, 102, 102, 102, 102,0.058823529411764705,0.00980392156862745,0.0,0.0,0.0,0.0
