dataset, firstfit, firstfitdecreasing, MBS, MBS', MBS'sampling, best known solution
u250_00, 104, 100, 100, 100, 99, 99
u250_01, 107, 101, 100, 100, 100, 100
u250_02, 109, 104, 102, 102, 102, 102
u250_03, 106, 101, 100, 100, 100, 100
u250_04, 107, 102, 102, 102, 101, 101
u250_05, 107, 104, 102, 101, 101, 101
u250_06, 107, 103, 102, 102, 102, 102
u250_07, 110, 105, 106, 104, 104, 104
u250_08, 112, 107, 106, 107, 106, 105
u250_09, 108, 102, 101, 101, 101, 101
u250_10, 112, 106, 106, 105, 105, 105
u250_11, 109, 103, 101, 101, 101, 101
u250_12, 112, 107, 107, 106, 106, 106
u250_13, 110, 104, 105, 104, 103, 103
u250_14, 105, 101, 100, 100, 100, 100
u250_15, 114, 107, 106, 106, 106, 105
u250_16, 103, 99, 97, 97, 97, 97
u250_17, 106, 101, 100, 100, 100, 100
u250_18, 106, 102, 101, 101, 100, 100
u250_19, 108, 103, 102, 102, 102, 102
