dataset, firstfit, firstfitdecreasing, MBS, MBS', MBS'sampling, best known solution
t60_00, 20, 22, 21, 21, 21, 20
t60_01, 20, 23, 21, 21, 21, 20
t60_02, 20, 22, 21, 21, 21, 20
t60_03, 20, 22, 21, 21, 21, 20
t60_04, 20, 22, 21, 21, 21, 20
t60_05, 20, 23, 21, 21, 21, 20
t60_06, 20, 22, 21, 21, 21, 20
t60_07, 20, 22, 21, 21, 21, 20
t60_08, 20, 22, 22, 21, 21, 20
t60_09, 20, 22, 21, 21, 21, 20
t60_10, 20, 23, 21, 21, 21, 20
t60_11, 20, 22, 21, 21, 21, 20
t60_12, 20, 23, 21, 21, 21, 20
t60_13, 20, 22, 21, 21, 21, 20
t60_14, 20, 22, 21, 21, 21, 20
t60_15, 20, 23, 21, 21, 21, 20
t60_16, 20, 23, 21, 21, 21, 20
t60_17, 20, 23, 21, 21, 21, 20
t60_18, 20, 22, 22, 21, 21, 20
t60_19, 20, 22, 21, 21, 21, 20
