dataset, firstfit, firstfitdecreasing, MBS, MBS', MBS'sampling, best known solution
t249_00, 83, 90, 84, 84, 83, 83
t249_01, 83, 92, 84, 84, 83, 83
t249_02, 83, 91, 84, 84, 83, 83
t249_03, 83, 92, 84, 84, 83, 83
t249_04, 83, 91, 84, 84, 83, 83
t249_05, 83, 91, 84, 84, 83, 83
t249_06, 83, 91, 84, 84, 83, 83
t249_07, 83, 92, 84, 84, 83, 83
t249_08, 83, 92, 84, 84, 83, 83
t249_09, 83, 92, 84, 84, 83, 83
t249_10, 83, 92, 84, 84, 83, 83
t249_11, 83, 92, 84, 84, 83, 83
t249_12, 83, 90, 84, 84, 83, 83
t249_13, 83, 92, 84, 84, 83, 83
t249_14, 83, 91, 84, 84, 83, 83
t249_15, 83, 92, 84, 84, 83, 83
t249_16, 83, 93, 84, 84, 83, 83
t249_17, 83, 91, 84, 84, 83, 83
t249_18, 83, 91, 84, 84, 83, 83
t249_19, 83, 92, 84, 84, 83, 83
