dataset, firstfit, firstfitdecreasing, MBS, MBS', MBS'sampling, best known solution
t501_00, 167, 182, 168, 168, 166, 167
t501_01, 167, 185, 168, 168, 167, 167
t501_02, 167, 184, 168, 168, 167, 167
t501_03, 167, 183, 168, 168, 167, 167
t501_04, 167, 184, 168, 168, 167, 167
t501_05, 167, 184, 168, 168, 166, 167
t501_06, 167, 183, 168, 168, 167, 167
t501_07, 167, 183, 168, 168, 167, 167
t501_08, 167, 185, 168, 168, 166, 167
t501_09, 167, 183, 168, 168, 167, 167
t501_10, 167, 183, 168, 168, 167, 167
t501_11, 167, 183, 168, 168, 167, 167
t501_12, 167, 182, 168, 168, 166, 167
t501_13, 167, 183, 168, 168, 167, 167
t501_14, 167, 182, 168, 168, 166, 167
t501_15, 167, 183, 168, 168, 167, 167
t501_16, 167, 182, 168, 168, 166, 167
t501_17, 167, 184, 168, 168, 166, 167
t501_18, 167, 183, 168, 168, 167, 167
t501_19, 167, 183, 168, 168, 166, 167
