dataset, firstfit, firstfitdecreasing, MBS, MBS', MBS'sampling, best known solution
t501_00, 185, 190, 196, 196, 184, 167
t501_01, 187, 192, 197, 197, 185, 167
t501_02, 184, 190, 197, 197, 184, 167
t501_03, 185, 191, 197, 197, 183, 167
t501_04, 184, 191, 198, 198, 183, 167
t501_05, 185, 190, 197, 196, 183, 167
t501_06, 185, 190, 196, 196, 183, 167
t501_07, 184, 190, 197, 196, 182, 167
t501_08, 184, 191, 197, 197, 183, 167
t501_09, 186, 191, 198, 197, 183, 167
t501_10, 185, 190, 198, 197, 183, 167
t501_11, 184, 191, 198, 198, 183, 167
t501_12, 188, 190, 197, 197, 183, 167
t501_13, 184, 190, 196, 196, 183, 167
t501_14, 186, 189, 196, 195, 183, 167
t501_15, 183, 191, 197, 197, 183, 167
t501_16, 186, 190, 197, 196, 183, 167
t501_17, 183, 191, 198, 197, 182, 167
t501_18, 186, 190, 196, 196, 183, 167
t501_19, 189, 191, 198, 197, 184, 167
