dataset, firstfit, firstfitdecreasing, MBS, MBS', MBS'sampling, VNS, best known solution,d1,d2,d3,d4,d5,d6
t120_00, 44, 45, 49, 49, 43, 41, 40,0.1,0.125,0.225,0.225,0.075,0.025
t120_01, 45, 46, 49, 49, 43, 41, 40,0.125,0.15,0.225,0.225,0.075,0.025
t120_02, 44, 45, 48, 48, 43, 41, 40,0.1,0.125,0.2,0.2,0.075,0.025
t120_03, 44, 46, 49, 49, 43, 41, 40,0.1,0.15,0.225,0.225,0.075,0.025
t120_04, 45, 46, 49, 49, 43, 41, 40,0.125,0.15,0.225,0.225,0.075,0.025
t120_05, 46, 46, 49, 49, 43, 41, 40,0.15,0.15,0.225,0.225,0.075,0.025
t120_06, 44, 46, 49, 49, 43, 41, 40,0.1,0.15,0.225,0.225,0.075,0.025
t120_07, 45, 46, 50, 50, 43, 41, 40,0.125,0.15,0.25,0.25,0.075,0.025
t120_08, 45, 46, 49, 49, 43, 41, 40,0.125,0.15,0.225,0.225,0.075,0.025
t120_09, 45, 45, 49, 49, 43, 41, 40,0.125,0.125,0.225,0.225,0.075,0.025
t120_10, 44, 46, 49, 49, 43, 41, 40,0.1,0.15,0.225,0.225,0.075,0.025
t120_11, 45, 46, 50, 50, 43, 41, 40,0.125,0.15,0.25,0.25,0.075,0.025
t120_12, 44, 46, 49, 49, 43, 41, 40,0.1,0.15,0.225,0.225,0.075,0.025
t120_13, 45, 46, 49, 49, 43, 41, 40,0.125,0.15,0.225,0.225,0.075,0.025
t120_14, 44, 46, 49, 49, 43, 41, 40,0.1,0.15,0.225,0.225,0.075,0.025
t120_15, 46, 46, 49, 49, 43, 41, 40,0.15,0.15,0.225,0.225,0.075,0.025
t120_16, 45, 46, 49, 49, 43, 41, 40,0.125,0.15,0.225,0.225,0.075,0.025
t120_17, 46, 47, 49, 49, 44, 41, 40,0.15,0.175,0.225,0.225,0.1,0.025
t120_18, 44, 46, 49, 49, 43, 41, 40,0.1,0.15,0.225,0.225,0.075,0.025
t120_19, 46, 46, 50, 50, 43, 41, 40,0.15,0.15,0.25,0.25,0.075,0.025
