dataset, firstfit, firstfitdecreasing, MBS, MBS', MBS'sampling, VNS, best known solution,d1,d2,d3,d4,d5,d6
t501_00, 185, 190, 195, 195, 183, 168, 167,0.10778443113772455,0.1377245508982036,0.16766467065868262,0.16766467065868262,0.09580838323353294,0.005988023952095809
t501_01, 187, 192, 196, 196, 184, 168, 167,0.11976047904191617,0.1497005988023952,0.17365269461077845,0.17365269461077845,0.10179640718562874,0.005988023952095809
t501_02, 184, 190, 196, 196, 184, 168, 167,0.10179640718562874,0.1377245508982036,0.17365269461077845,0.17365269461077845,0.10179640718562874,0.005988023952095809
t501_03, 185, 191, 196, 196, 183, 168, 167,0.10778443113772455,0.1437125748502994,0.17365269461077845,0.17365269461077845,0.09580838323353294,0.005988023952095809
t501_04, 184, 191, 197, 197, 183, 168, 167,0.10179640718562874,0.1437125748502994,0.17964071856287425,0.17964071856287425,0.09580838323353294,0.005988023952095809
t501_05, 185, 190, 196, 195, 183, 168, 167,0.10778443113772455,0.1377245508982036,0.17365269461077845,0.16766467065868262,0.09580838323353294,0.005988023952095809
t501_06, 185, 190, 195, 195, 182, 168, 167,0.10778443113772455,0.1377245508982036,0.16766467065868262,0.16766467065868262,0.08982035928143713,0.005988023952095809
t501_07, 184, 190, 196, 195, 182, 168, 167,0.10179640718562874,0.1377245508982036,0.17365269461077845,0.16766467065868262,0.08982035928143713,0.005988023952095809
t501_08, 184, 191, 196, 196, 183, 168, 167,0.10179640718562874,0.1437125748502994,0.17365269461077845,0.17365269461077845,0.09580838323353294,0.005988023952095809
t501_09, 186, 191, 197, 196, 183, 168, 167,0.11377245508982035,0.1437125748502994,0.17964071856287425,0.17365269461077845,0.09580838323353294,0.005988023952095809
t501_10, 185, 190, 197, 196, 183, 168, 167,0.10778443113772455,0.1377245508982036,0.17964071856287425,0.17365269461077845,0.09580838323353294,0.005988023952095809
t501_11, 184, 191, 197, 197, 182, 168, 167,0.10179640718562874,0.1437125748502994,0.17964071856287425,0.17964071856287425,0.08982035928143713,0.005988023952095809
t501_12, 188, 190, 196, 196, 183, 168, 167,0.12574850299401197,0.1377245508982036,0.17365269461077845,0.17365269461077845,0.09580838323353294,0.005988023952095809
t501_13, 184, 190, 195, 195, 182, 168, 167,0.10179640718562874,0.1377245508982036,0.16766467065868262,0.16766467065868262,0.08982035928143713,0.005988023952095809
t501_14, 186, 189, 195, 194, 183, 168, 167,0.11377245508982035,0.1317365269461078,0.16766467065868262,0.16167664670658682,0.09580838323353294,0.005988023952095809
t501_15, 183, 191, 196, 196, 182, 168, 167,0.09580838323353294,0.1437125748502994,0.17365269461077845,0.17365269461077845,0.08982035928143713,0.005988023952095809
t501_16, 186, 190, 196, 195, 183, 168, 167,0.11377245508982035,0.1377245508982036,0.17365269461077845,0.16766467065868262,0.09580838323353294,0.005988023952095809
t501_17, 183, 191, 197, 196, 183, 168, 167,0.09580838323353294,0.1437125748502994,0.17964071856287425,0.17365269461077845,0.09580838323353294,0.005988023952095809
t501_18, 186, 190, 195, 195, 183, 168, 167,0.11377245508982035,0.1377245508982036,0.16766467065868262,0.16766467065868262,0.09580838323353294,0.005988023952095809
t501_19, 189, 191, 197, 196, 183, 168, 167,0.1317365269461078,0.1437125748502994,0.17964071856287425,0.17365269461077845,0.09580838323353294,0.005988023952095809
